index,filename,original_source_name
0,c00.png,1111.png
1,c01.png,1225.png
2,c02.png,193.png
3,c03.png,297.png
4,c04.png,363.png
5,c05.png,399.png
6,c06.png,423.png
7,c07.png,432.png
8,c08.png,458.png
9,c09.png,481.png
10,c10.png,492.png
11,c11.png,50.png
12,c12.png,540.png
13,c13.png,567.png
14,c14.png,62.png
15,c15.png,621.png
16,c16.png,679.png
17,c17.png,69.png
18,c18.png,708.png
19,c19.png,729.png
20,c20.png,803.png
21,c21.png,857.png
22,c22.png,898.png
23,c23.png,9.png
24,c24.png,913.png
25,c25.png,945.png
26,c26.png,967.png
27,c27.png,993.png
28,c28.png,997.png
29,c29.png,airplane.png
30,c30.png,house.png
31,c31.png,kodim08.png
32,c32.png,kodim09.png
33,c33.png,kodim15.png
34,c34.png,kodim16.png
35,c35.png,kodim17.png
36,c36.png,kodim19.png
37,c37.png,kodim20.png
38,c38.png,kodim21.png
39,c39.png,kodim23.png
